image_path,x_start,y_start,x_end,y_end,class_label
right_shoot/IMG_4886.JPG,403,576,2609,2648,4
right_shoot/IMG_4892.JPG,179,666,2581,2704,4
right_shoot/Screenshot 2024-11-20 at 11.05.17 PM.png,194,451,408,592,4
right_shoot/Screenshot 2024-11-20 at 11.05.33 PM.png,210,452,268,486,4
right_shoot/Screenshot 2024-11-20 at 11.04.44 PM.png,164,407,319,526,4
right_shoot/BC1E80B5-B893-49F6-BF57-34295E3BF72D_4_5005_c.jpeg,40,114,304,339,4
right_shoot/E3325436-2F63-45EC-807E-A75A46A273D5_4_5005_c.jpeg,46,60,193,187,4
right_shoot/E14792AC-619F-4D90-A146-9D6EF1093083_4_5005_c.jpeg,34,203,295,478,4
right_shoot/IMG_5180.JPG,179,845,1523,2161,4
right_shoot/right+shoot.jpg,509,1439,2296,2956,4
right_shoot/718A82C7-C2D2-4A02-84A1-EA71D12DBD57.jpg,60,934,1887,2569,4
right_shoot/IMG_5141.JPG,1041,1719,2027,2419,4
right_shoot/IMG_2942.jpg,467,750,1423,763,4
right_shoot/IMG_2939.jpg,617,1719,1934,1329,4
right_shoot/Screenshot 2024-11-20 at 11.05.23 PM.png,165,458,303,332,4
right_shoot/IMG_4909.JPG,207,1237,2676,3214,4
right_shoot/Screenshot 2024-11-20 at 11.05.40 PM.png,219,397,391,511,4
right_shoot/Screenshot 2024-11-20 at 11.04.17 PM.png,308,367,419,488,4
right_shoot/IMG_5047.JPG,179,1007,2643,2973,4
right_shoot/IMG_5052.JPG,274,1752,2956,3970,4
right_shoot/IMG_2733.jpg,107,1183,514,1235,4
right_shoot/IMG_2908.jpg,570,1977,2255,3049,4
right_shoot/WhatsApp Image 2024-11-10 at 13.54.49 (1).jpeg,243,162,1824,1420,4
right_shoot/IMG_4992.JPG,313,1131,1842,1680,4
right_shoot/IMG_2912.jpg,458,167,1981,1295,4
right_shoot/9B317B28-98CE-4E6B-B6A3-13A8A477B57C.jpg,107,1355,1608,2723,4
right_shoot/IMG_5131.JPG,317,1303,1689,2410,4
right_shoot/IMG_4213.jpg,30,1303,2148,3066,4
right_shoot/IMG_2905.jpg,651,1625,2221,2796,4
right_shoot/WhatsApp Image 2024-11-10 at 13.54.54 (1).jpeg,371,98,1809,1175,4
right_shoot/15396C2E-A537-4EE2-B96D-58485BE10491_4_5005_c.jpeg,90,101,279,250,4
right_shoot/IMG_2909.jpg,527,1531,1874,2706,4
right_shoot/IMG_5136.JPG,613,1102,1857,1835,4
right_shoot/IMG_5095.JPG,61,588,1853,2419,4
right_shoot/62203EF8-43D7-426B-8467-BEBEB6A303B6.jpg,64,1329,1556,2766,4
right_shoot/IMG_4956.JPG,212,968,1965,2077,4
right_shoot/IMG_5123.JPG,84,963,2744,3376,4
right_shoot/Screenshot 2024-11-20 at 11.04.10 PM.png,349,298,572,483,4
right_shoot/Screenshot 2024-11-19 at 9.36.33 PM.png,37,155,882,928,4
right_shoot/Screenshot 2024-11-20 at 9.39.03 PM.png,22,714,534,1211,4
right_shoot/IMG_3065.jpg,150,1513,1942,3036,4
right_shoot/Screenshot 2024-11-20 at 11.04.02 PM.png,134,327,369,509,4
right_shoot/83CE8614-9A91-4F41-9029-C4792967FEFF_4_5005_c.jpeg,36,47,285,245,4
right_shoot/WhatsApp Image 2024-11-10 at 13.54.44.jpeg,116,588,1274,1439,4
right_shoot/IMG_2906.jpg,527,1582,1964,2697,4
right_shoot/WhatsApp Image 2024-11-10 at 13.54.47 (1).jpeg,275,128,1100,974,4
right_shoot/IMG_2910.jpg,64,1115,1565,2414,4
right_shoot/IMG_2938.jpg,476,613,943,1908,4
right_shoot/9A50BD53-44F1-4629-84B0-5793A3D605FF.jpg,287,969,1419,1676,4
right_shoot/Screenshot 2024-11-20 at 9.38.40 PM.png,98,707,646,1158,4
right_shoot/4FB9429C-DE0D-4F46-9DAA-94F1FF52C9B9_4_5005_c.jpeg,27,208,304,456,4
right_shoot/Screenshot 2024-11-20 at 11.05.30 PM.png,230,437,389,559,4
right_shoot/IMG_2897.jpg,291,1483,1664,1977,4
right_shoot/IMG_2911.jpg,295,729,1882,2075,4
right_shoot/IMG_2907.jpg,398,1801,669,1779,4
right_shoot/75316132614__2B4C533D-CF80-452F-AAA9-DF83A15D9833.jpg,392,1153,2133,2548,4
right_shoot/IMG_5076.JPG,179,1248,2587,2217,4
right_shoot/IMG_3064.jpg,943,1342,2281,2676,4
right_shoot/Screenshot 2024-11-20 at 11.03.51 PM.png,176,337,410,515,4
right_shoot/IMG_2805.JPG,108,1112,774,1646,4
right_shoot/IMG_3079.jpg,98,699,1539,2148,4
right_shoot/IMG_3080.jpg,510,1574,2058,3010,4
right_shoot/4FB9429C-DE0D-4F46-9DAA-94F1FF52C9B9_4_5005_c(1).jpeg,40,198,299,452,4
right_shoot/IMG_2941.jpg,321,1085,2041,2410,4
right_shoot/Screenshot 2024-11-20 at 11.05.26 PM.png,136,441,372,596,4
right_shoot/IMG_2804.JPG,148,967,629,924,4
right_shoot/Screenshot 2024-11-20 at 11.03.55 PM.png,228,366,455,552,4
right_shoot/IMG_3075.jpg,81,1797,1719,1303,4
right_shoot/IMG_4867.JPG,61,1293,2928,3802,4
right_shoot/IMG_3063.jpg,476,759,2054,1857,4
right_shoot/Screenshot 2024-11-20 at 11.03.59 PM.png,256,354,490,525,4
right_shoot/IMG_2797.JPG,261,927,1188,1604,4
right_shoot/IMG_2936.jpg,257,1428,613,986,4
right_shoot/IMG_3059.jpg,531,1445,1878,2474,4
right_shoot/IMG_3058.jpg,381,1711,1715,2839,4
right_shoot/Screenshot 2024-11-20 at 11.04.41 PM.png,188,243,410,444,4
right_shoot/WhatsApp Image 2024-11-10 at 13.54.55.jpeg,347,622,1328,1456,4
right_shoot/D01B8395-3EF6-43C2-9D8A-FD49BE6C3523.jpg,561,1492,1025,1170,4
right_shoot/IMG_3076.jpg,480,1629,2011,3015,4
right_shoot/Screenshot 2024-11-20 at 11.04.53 PM.png,213,362,370,495,4
right_shoot/IMG_2937.jpg,600,1115,686,1393,4
right_shoot/0A1C8F9B-6B98-4A86-905E-E5FEFE531EE3_4_5005_c.jpeg,61,117,272,309,4
right_shoot/2B220F36-13C0-4402-B7F5-61D8AFF8A9E5.jpg,991,663,2079,1549,4
right_shoot/IMG_5002.JPG,694,1108,2268,1881,4
right_shoot/IMG_2792.JPG,20,857,782,466,4
right_shoot/WhatsApp Image 2024-11-10 at 13.54.38.jpeg,789,315,1783,1083,4
right_shoot/IMG_3062.jpg,132,952,1085,1509,4
right_shoot/Screenshot 2024-11-20 at 11.04.06 PM.png,288,341,549,169,4
right_shoot/IMG_3074.jpg,364,1582,1977,3015,4
right_shoot/IMG_3077.jpg,724,1149,2127,2526,4
right_shoot/IMG_8842.jpg,302,845,2032,722,4
right_shoot/EC6E08F7-CB53-4655-9945-B38429A5F8EC_4_5005_c.jpeg,56,144,278,363,4
right_shoot/Screenshot 2024-11-20 at 11.04.14 PM.png,436,349,601,512,4
right_shoot/IMG_3061.jpg,514,879,1248,1449,4
right_shoot/Screenshot 2024-11-20 at 11.05.00 PM.png,188,291,430,466,4
right_shoot/IMG_5968.jpg,60,1308,2080,3015,4
right_shoot/Screenshot 2024-11-20 at 11.05.36 PM.png,230,385,379,514,4
right_shoot/IMG_2785.JPG,85,1038,908,1729,4
right_shoot/IMG_2940.jpg,21,1496,1531,1303,4
right_shoot/217B8658-31D5-47B5-BA87-45DDBDECBCAC_4_5005_c.jpeg,43,75,206,236,4
right_shoot/IMG_3060.jpg,1333,1016,1947,2075,4
right_shoot/IMG_4900.JPG,324,1181,2727,2956,4
right_shoot/IMG_3078.jpg,394,566,2067,2011,4
