image_path,x_start,y_start,x_end,y_end,class_label
right_shoot_redo/Screenshot 2024-11-20 at 11.05.33 PM.png,219,457,387,579,4
right_shoot_redo/D01B8395-3EF6-43C2-9D8A-FD49BE6C3523.jpg,523,1432,1402,2225,4
right_shoot_redo/IMG_2942.jpg,510,789,2178,2221,4
right_shoot_redo/IMG_8842.jpg,162,722,2973,3152,4
right_shoot_redo/IMG_5180.JPG,313,1058,2973,3365,4
right_shoot_redo/IMG_2940.jpg,17,1556,1505,2762,4
right_shoot_redo/Screenshot 2024-11-20 at 11.05.23 PM.png,141,458,380,598,4
right_shoot_redo/Screenshot 2024-11-20 at 11.04.17 PM.png,328,362,573,575,4
right_shoot_redo/IMG_4992.JPG,644,991,2906,3113,4
right_shoot_redo/IMG_2897.jpg,437,1492,1981,2852,4
right_shoot_redo/IMG_5136.JPG,643,1136,2071,2221,4
right_shoot_redo/IMG_2936.jpg,274,1342,1248,1865,4
right_shoot_redo/IMG_5095.JPG,134,571,2895,3309,4
right_shoot_redo/IMG_2937.jpg,557,1188,2294,2461,4
right_shoot_redo/IMG_4956.JPG,503,946,2441,2620,4
right_shoot_redo/IMG_2907.jpg,283,1792,1505,2813,4
right_shoot_redo/IMG_2939.jpg,647,1646,2298,3062,4
right_shoot_redo/WhatsApp Image 2024-11-10 at 13.54.47 (1).jpeg,307,181,1525,1207,4
right_shoot_redo/IMG_2938.jpg,458,746,2217,1955,4
right_shoot_redo/IMG_2733.jpg,137,1170,2187,3057,4
right_shoot_redo/IMG_5076.JPG,173,1108,2934,3382,4
right_shoot_redo/9A50BD53-44F1-4629-84B0-5793A3D605FF.jpg,343,930,1552,1977,4
right_shoot_redo/IMG_2804.JPG,128,964,780,1544,4
right_shoot_redo/IMG_3062.jpg,128,1012,1629,2200,4
right_shoot_redo/IMG_5002.JPG,347,1024,2682,3108,4
right_shoot_redo/IMG_2792.JPG,20,837,740,1580,4
right_shoot_redo/75316132614__2B4C533D-CF80-452F-AAA9-DF83A15D9833.jpg,481,1136,2704,3287,4
right_shoot_redo/Screenshot 2024-11-20 at 11.04.06 PM.png,296,339,512,527,4
right_shoot_redo/IMG_3061.jpg,454,789,2290,2320,4
right_shoot_redo/IMG_3075.jpg,90,1775,1458,3015,4
right_shoot_redo/IMG_3060.jpg,1351,999,2225,2243,4
right_shoot_redo/IMG_4900.JPG,190,1058,2945,3690,4
