image_path,x_start,y_start,x_end,y_end,class_label
right/IMG_2943.jpg,729,1505,2178,2453,3
right/IMG_2902.jpg,626,463,1990,1346,3
right/IMG_5967.jpg,68,1865,1882,3070,3
right/IMG_4891.JPG,336,1355,2576,2800,3
right/IMG_4885.JPG,767,1624,2738,2822,3
right/WhatsApp Image 2024-11-10 at 13.55.00.jpeg,878,708,1614,1171,3
right/IMG_5181.JPG,218,1456,2839,3332,3
right/Screenshot 2024-11-20 at 10.49.34 PM.png,127,280,317,405,3
right/Screenshot 2024-11-20 at 10.49.26 PM.png,230,409,382,498,3
right/WhatsApp Image 2024-11-10 at 13.54.44 (1).jpeg,116,731,1331,1265,3
right/Screenshot 2024-11-20 at 10.49.38 PM.png,177,335,411,485,3
right/IMG_4908.JPG,257,795,2945,2688,3
right/7E6DAFD3-D181-4BE1-8531-B05DF3EFDAFA_4_5005_c.jpeg,97,140,262,248,3
right/IMG_4868.JPG,184,1724,2956,3472,3
right/IMG_2798.JPG,332,1052,1171,1635,3
right/Screenshot 2024-11-20 at 10.48.43 PM.png,374,384,585,528,3
right/ad8762ff-52df-4c95-829f-2a8fc89c30dd.JPG,119,1234,1191,1840,3
right/Screenshot 2024-11-20 at 10.48.32 PM.png,243,415,471,575,3
right/IMG_3056.jpg,235,2187,1638,3057,3
right/IMG_5140.JPG,868,1915,1864,2447,3
right/right.jpg,644,1892,2301,2878,3
right/WhatsApp Image 2024-11-10 at 13.54.50.jpeg,416,441,1602,1260,3
right/Screenshot 2024-11-20 at 10.49.14 PM.png,231,329,331,395,3
right/Screenshot 2024-11-20 at 9.39.08 PM.png,59,767,627,1085,3
right/IMG_2898.jpg,523,1719,1724,2530,3
right/Screenshot 2024-11-19 at 9.36.26 PM.png,100,238,854,754,3
right/IMG_3067.jpg,1192,2877,77,1822,3
right/IMG_3071.jpg,12,1372,1509,2466,3
right/6C147890-FB4E-4DE2-952A-A9A8018E5290.jpg,394,1346,1732,2062,3
right/IMG_5124.JPG,123,1657,2536,3158,3
right/IMG_5130.JPG,270,1544,1719,2496,3
right/Screenshot 2024-11-20 at 10.48.36 PM.png,141,366,327,495,3
right/959741A5-BDAB-439A-AE7A-6D5A509AA150.jpg,90,1299,1398,1994,3
right/IMG_5051.JPG,274,1685,2912,3673,3
right/IMG_2945.jpg,548,634,2273,1629,3
right/IMG_4993.JPG,498,1736,2805,3147,3
right/IMG_2904.jpg,544,759,1848,1676,3
right/43925226-bbef-4467-ba1b-ba205f735fce.JPG,182,1103,791,1484,3
right/IMG_2905.jpg,934,1998,2281,2916,3
right/IMG_2944.jpg,789,1042,2303,2243,3
right/Screenshot 2024-11-20 at 10.50.08 PM.png,210,393,359,483,3
right/IMG_4957.JPG,403,1388,2217,2531,3
right/IMG_3070.jpg,334,1771,1574,2504,3
right/IMG_2948.jpg,364,1561,2230,2573,3
right/IMG_3066.jpg,544,1994,1852,2817,3
right/IMG_2732.jpg,55,1621,2110,3036,3
right/IMG_5094.JPG,39,1276,2732,3018,3
right/IMG_2899.jpg,866,1706,2144,2637,3
right/74CBF0F5-F858-46F6-8BF0-52A0666DE694_4_5005_c.jpeg,70,160,301,284,3
right/IMG_5137.JPG,802,1329,2075,2183,3
right/IMG_3073.jpg,81,1955,1775,3045,3
right/Screenshot 2024-11-20 at 10.49.58 PM.png,187,446,352,534,3
right/8A2DC01C-98B4-4670-A271-A9789E300E55.jpg,42,1278,1878,2406,3
right/75316136243__1F4D9E21-2CB3-43AC-8749-86B3087E10E8.jpg,666,1612,2749,3130,3
right/Screenshot 2024-11-20 at 10.48.40 PM.png,269,405,487,557,3
right/IMG_3069.jpg,480,2225,1934,3062,3
right/IMG_2947.jpg,514,1655,2285,2787,3
right/Screenshot 2024-11-20 at 10.50.01 PM.png,169,443,348,547,3
right/IMG_2905.jpg,913,1955,2268,2912,3
right/WhatsApp Image 2024-11-10 at 13.54.56 (2).jpeg,130,486,1277,1325,3
right/E92F54E7-03CC-415F-8158-B47A7C8E31B0.jpg,214,1642,1685,2616,3
right/F5A5A67E-A688-4640-A302-0B0EE7990275_4_5005_c.jpeg,21,234,284,402,3
right/IMG_2860.JPG,875,542,1949,1100,3
right/CA415CAA-D640-4BF2-8F15-EDAA05348CB5_4_5005_c.jpeg,51,107,207,233,3
right/IMG_3052.jpg,1072,1737,2213,2453,3
right/Screenshot 2024-11-20 at 10.50.11 PM.png,215,420,366,512,3
right/Screenshot 2024-11-20 at 10.48.50 PM.png,349,333,589,515,3
right/IMG_5048.JPG,229,1663,2772,3248,3
right/IMG_2946.jpg,493,720,2170,1951,3
right/IMG_3068.jpg,476,1509,1874,2423,3
right/Screenshot 2024-11-20 at 10.49.11 PM.png,171,279,406,441,3
right/1A1C5760-E5A0-4F0B-9121-0EC6998CF4C1_4_5005_c.jpeg,61,205,285,349,3
right/IMG_5077.JPG,218,1702,2676,3253,3
right/Screenshot 2024-11-19 at 9.35.24 PM.png,262,330,803,668,3
right/IMG_3072.jpg,458,1393,2110,2487,3
right/3AACDF28-6E3D-44B4-A8A3-5EA2AE1B1CE7_4_5005_c.jpeg,23,223,276,397,3
right/4EF99243-D7EF-4176-ACDC-CD19F4900496_4_5005_c.jpeg,68,100,212,201,3
right/IMG_2900.jpg,428,1711,1488,2431,3
right/C7355E91-A13B-4978-AF56-29226FDD810A_4_5005_c.jpeg,81,136,271,302,3
right/Screenshot 2024-11-20 at 10.50.15 PM.png,245,405,395,529,3
right/IMG_5969.jpg,162,1582,2088,2423,3
right/Screenshot 2024-11-20 at 10.48.29 PM.png,130,323,409,516,3
right/Screenshot 2024-11-20 at 9.38.35 PM.png,85,823,578,1178,3
right/IMG_3055.jpg,724,1715,2255,2723,3
right/Screenshot 2024-11-20 at 10.48.46 PM.png,336,381,573,530,3
right/IMG_8843.jpg,218,1299,2917,3225,3
right/C32C3646-D6B8-459F-B61D-ACC4C8CD1978.jpg,77,1681,1599,2637,3
right/IMG_1320.jpg,38,1719,1981,3070,3
right/Screenshot 2024-11-20 at 10.49.31 PM.png,231,415,386,509,3
right/WhatsApp Image 2024-11-10 at 13.54.54.jpeg,456,196,1728,1034,3
right/EA5180F0-2CE7-4C56-B975-131C7DEEEF66.jpg,231,1951,1621,2706,3
right/Screenshot 2024-11-20 at 10.49.17 PM.png,219,406,384,502,3
right/7163C87E-5F2F-47EF-9AE8-FC4B66E9B28B.jpg,1201,861,2146,1461,3
right/IMG_3054.jpg,960,493,2183,1368,3
right/IMG_4901.JPG,369,1808,2884,3528,3
right/WhatsApp Image 2024-11-10 at 13.54.41 (1).jpeg,891,648,1719,1164,3
right/IMG_2784.JPG,150,1282,911,1789,3
right/F52EF6B9-A8A2-4C42-BDBA-C1ADC40B069E_4_5005_c.jpeg,60,152,318,312,3
right/IMG_5001.JPG,632,1680,2693,3236,3
right/Screenshot 2024-11-20 at 10.50.05 PM.png,180,453,340,547,3
right/IMG_2901.jpg,433,810,1432,1599,3
