image_path,x_start,y_start,x_end,y_end,class_label
shoot/IMG_2996.jpg,900,548,1629,1719,2
shoot/Screenshot 2024-11-20 at 11.01.30 PM.png,115,272,208,404,2
shoot/A99ABFF8-670A-4A43-87B0-49308B39178F.jpg,870,1218,1732,2599,2
shoot/145F9C01-82ED-4D85-A736-103678D85533.jpg,1694,952,1694,952,2
shoot/IMG_3082.jpg,1278,1351,2015,2650,2
shoot/IMG_3094.jpg,407,754,1029,2316,2
shoot/Screenshot 2024-11-19 at 9.36.16 PM.png,285,62,682,964,2
shoot/Screenshot 2024-11-20 at 10.52.37 PM.png,284,307,341,423,2
shoot/Screenshot 2024-11-20 at 10.52.46 PM.png,216,276,329,467,2
shoot/Screenshot 2024-11-20 at 10.52.25 PM.png,269,310,400,512,2
shoot/IMG_3036.jpg,990,1050,1574,1968,2
shoot/CF98B9BE-C6BB-4118-A7F3-FE22E7E93AB8_4_5005_c.jpeg,107,33,193,158,2
shoot/IMG_4890.JPG,532,503,2010,3001,2
shoot/IMG_3020.jpg,947,1145,1904,2393,2
shoot/IMG_5142.JPG,1069,1456,1652,2391,2
shoot/IMG_3021.jpg,1325,1020,2238,2268,2
shoot/77090DB7-A252-4A10-A09C-3B08D5157A0F_4_5005_c.jpeg,101,41,193,182,2
shoot/WhatsApp Image 2024-11-10 at 13.54.45 (1).jpeg,571,42,1320,1318,2
shoot/IMG_3037.jpg,673,1162,1372,2268,2
shoot/IMG_4895.JPG,2592,3018,2592,3018,2
shoot/WhatsApp Image 2024-11-10 at 13.54.41.jpeg,503,662,856,1316,2
shoot/Screenshot 2024-11-20 at 10.51.43 PM.png,268,267,268,267,2
shoot/IMG_5182.JPG,78,985,2464,3438,2
shoot/IMG_3095.jpg,1441,630,2011,2110,2
shoot/454470CB-8E5C-43D0-A97D-2EAD6833C5C0.jpg,926,1415,1621,2937,2
shoot/IMG_3083.jpg,960,930,1539,2268,2
shoot/Screenshot 2024-11-20 at 11.01.51 PM.png,126,300,228,497,2
shoot/IMG_2799.JPG,133,435,676,1319,2
shoot/Screenshot 2024-11-20 at 11.02.03 PM.png,121,322,207,492,2
shoot/7FD267F4-D21A-4DB6-8D7D-392EB3FDA165.jpg,613,1432,1351,2916,2
shoot/Screenshot 2024-11-20 at 11.02.35 PM.png,167,306,251,473,2
shoot/8493AF80-294F-4101-863D-89F438EBFB4F_4_5005_c.jpeg,54,4,194,215,2
shoot/WhatsApp Image 2024-11-10 at 13.54.38 (1).jpeg,742,378,1143,1024,2
