image_path,x_start,y_start,x_end,y_end,class_label
left/Screenshot 2024-11-20 at 10.40.11 PM.png,36,459,214,552,0
left/IMG_5178.JPG,128,1388,2676,2693,0
left/Screenshot 2024-11-20 at 10.39.51 PM.png,71,437,273,548,0
left/Screenshot 2024-11-20 at 10.40.03 PM.png,50,447,202,526,0
left/IMG_5971.jpg,313,1574,2281,2809,0
left/IMG_2950.jpg,334,1599,1852,2418,0
left/IMG_2951.jpg,454,1741,1865,2556,0
left/IMG_5964.jpg,527,1668,2285,2539,0
left/IMG_4893.JPG,324,1220,2878,2643,0
left/8F6D0188-D81A-448B-8D2B-27CB7DD34BA6_4_5005_c.jpeg,41,268,346,445,0
left/Screenshot 2024-11-20 at 10.38.02 PM.png,125,283,334,417,0
left/IMG_2953.jpg,793,664,2075,1475,0
left/WhatsApp Image 2024-11-10 at 13.54.59 (1).jpeg,509,418,1806,985,0
left/IMG_2952.jpg,506,1192,1839,1947,0
left/WhatsApp Image 2024-11-10 at 13.54.38 (3).jpeg,659,757,1563,1056,0
left/IMG_3043.jpg,403,1651,1917,2341,0
left/Screenshot 2024-11-19 at 9.35.46 PM.png,408,390,896,614,0
left/IMG_2956.jpg,313,1694,1831,2706,0
left/Screenshot 2024-11-20 at 10.37.58 PM.png,117,314,309,424,0
left/IMG_2957.jpg,351,1784,1758,2753,0
left/IMG_3042.jpg,450,1196,2041,1831,0
left/Screenshot 2024-11-20 at 10.38.36 PM.png,201,431,357,518,0
left/356A029A-96BB-4B39-AA57-7946F89D2DA2.jpg,338,1844,2024,2684,0
left/IMG_5143.JPG,1265,1875,1954,2206,0
left/Screenshot 2024-11-20 at 10.37.29 PM.png,42,392,243,483,0
left/IMG_3097.jpg,536,1312,1942,2187,0
left/IMG_3040.jpg,197,1402,1333,1955,0
left/81342642-C304-48BF-8F12-744AA225ACCD_4_5005_c.jpeg,88,104,238,177,0
left/IMG_4897.JPG,330,1903,2514,3147,0
left/IMG_2955.jpg,360,1338,1462,1934,0
left/IMG_2954.jpg,536,832,1874,1616,0
left/IMG_4869.JPG,336,1680,2917,3175,0
left/IMG_3041.jpg,557,8,2264,965,0
left/IMG_3096.jpg,124,2118,1492,2912,0
left/IMG_5133.JPG,467,1436,2050,2350,0
left/Screenshot 2024-11-20 at 10.38.32 PM.png,178,438,369,527,0
left/WhatsApp Image 2024-11-10 at 13.54.46.jpeg,450,467,1817,1036,0
left/IMG_2933.jpg,171,1634,1509,2521,0
left/IMG_5053.JPG,184,1758,2940,3533,0
left/F4631752-101D-401F-814C-FF40D9F43949_1_102_o.jpeg,429,893,1314,1379,0
left/IMG_2932.jpg,30,2015,1282,2843,0
left/IMG_5045.JPG,352,1657,2581,3012,0
left/IMG_2931.jpg,145,1788,1453,2671,0
left/IMG_5121.JPG,89,1456,2923,3012,0
left/IMG_4997.JPG,257,1332,2878,2592,0
left/IMG_3008.jpg,446,2110,1758,2869,0
left/IMG_5096.JPG,251,1540,2738,2951,0
left/IMG_2935.jpg,77,939,1329,2007,0
left/Screenshot 2024-11-20 at 10.39.55 PM.png,19,396,187,487,0
left/c432b77d-ace1-4274-97fe-ce3f19ab4943.JPG,392,1390,1487,2039,0
left/IMG_2934.jpg,330,1222,1604,2161,0
left/IMG_3009.jpg,364,1912,1668,2659,0
left/IMG_4955.JPG,403,1819,2043,2844,0
left/Screenshot 2024-11-20 at 10.40.15 PM.png,20,450,210,564,0
left/Screenshot 2024-11-20 at 10.39.59 PM.png,59,311,180,415,0
left/IMG_4214.jpg,94,1398,2028,2311,0
left/Screenshot 2024-11-20 at 10.38.06 PM.png,52,277,395,460,0
left/IMG_4995.JPG,347,1864,2497,2962,0
left/WhatsApp Image 2024-11-10 at 13.54.51.jpeg,337,426,1480,962,0
left/IMG_3007.jpg,120,2011,1496,2847,0
left/IMG_3013.jpg,390,1960,2217,2903,0
left/0EF4C61F-233D-4540-AC53-8CDE2469E2E0_4_5005_c.jpeg,63,217,311,338,0
left/Screenshot 2024-11-20 at 10.38.27 PM.png,212,424,376,527,0
left/left.jpg,235,1635,2447,2951,0
left/Screenshot 2024-11-20 at 10.38.11 PM.png,134,285,419,443,0
left/75316139041__BF90C688-7150-4E3A-8833-7D6B488113AE.jpg,179,1321,2385,2671,0
left/IMG_3012.jpg,527,1578,2028,2414,0
left/d53796be-4ea6-47f0-9bb1-070b8aaf825b.JPG,486,1129,0,1490,0
left/IMG_3010.jpg,25,2251,1436,3027,0
left/D192C86E-565E-4A8C-8F84-4B6C0B81A38A_4_5005_c.jpeg,39,271,320,453,0
left/F478BD63-9B97-46A7-B59C-CD3ABA3A2B10.jpg,484,1775,2230,2877,0
left/IMG_3011.jpg,34,1964,1805,3019,0
left/IMG_3039.jpg,90,1882,1857,2890,0
left/IMG_2858.JPG,873,703,1588,1200,0
left/09B35917-A9B7-4A0E-B96C-4AE2554CC21E.jpg,1192,1075,2347,1570,0
left/Screenshot 2024-11-20 at 9.38.23 PM.png,237,777,677,1067,0
left/IMG_3015.jpg,1059,1351,2311,2062,0
left/IMG_5074.JPG,78,1097,2805,2564,0
left/IMG_3014.jpg,591,1535,2174,2388,0
left/IMG_5129.JPG,724,1878,2243,2710,0
left/IMG_3016.jpg,1042,1342,2195,1968,0
left/96907403-5EA3-43C2-AFF1-5F89AB7FA151_4_5005_c.jpeg,52,116,285,218,0
left/AC591408-1C68-48D8-A144-D0645A4B376F_4_5005_c.jpeg,42,199,203,275,0
left/IMG_3017.jpg,939,1591,2110,2453,0
left/IMG_5129(1).JPG,673,1968,2213,2646,0
left/Screenshot 2024-11-20 at 10.40.08 PM.png,50,449,228,533,0
left/Screenshot 2024-11-20 at 10.39.48 PM.png,56,433,251,550,0
left/IMG_2795.JPG,34,1006,850,1504,0
left/IMG_2959.jpg,621,1968,1741,2641,0
