epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8911,1.91425,3.59285,2.20739,0.53808,0.22643,0.14477,0.06608,1.99346,inf,3.18045,0.00029997,0.00029997,0.00029997
2,61.989,1.81093,2.97001,2.04731,0.06741,0.24417,0.03446,0.01712,3.35895,inf,99.2171,0.000609034,0.000609034,0.000609034
3,111.226,1.86449,2.69906,2.08091,0.00013,0.01375,8e-05,3e-05,3.2626,inf,149.284,0.000916044,0.000916044,0.000916044
4,146.026,1.83971,2.69017,2.07325,0.01298,0.35658,0.00957,0.00313,2.77685,inf,6.90567,0.0011,0.0011,0.0011
5,179.922,1.85693,2.45291,2.05761,0.0438,0.0386,0.01691,0.00609,4.28763,36.8334,5.29342,0.00109633,0.00109633,0.00109633
6,213.96,1.76926,2.35779,1.99828,0.20262,0.55671,0.22994,0.09201,1.95288,16.9585,3.22572,0.00109267,0.00109267,0.00109267
7,251.492,1.81794,2.34008,2.01818,0.12917,0.70112,0.2533,0.1101,1.82454,12.5443,2.49791,0.001089,0.001089,0.001089
8,288.682,1.69804,2.12982,1.91523,0.27058,0.18679,0.13505,0.05607,3.05182,2.89006,3.58432,0.00108534,0.00108534,0.00108534
9,322.645,1.75702,2.14032,1.96467,0.21832,0.53456,0.31707,0.15324,1.85153,7.2093,2.16695,0.00108167,0.00108167,0.00108167
10,360.663,1.64517,2.07528,1.86567,0.29168,0.55394,0.41349,0.21146,1.57516,2.39111,1.9027,0.001078,0.001078,0.001078
11,397.832,1.6411,2.02281,1.84418,0.57919,0.39936,0.43567,0.21747,1.73934,2.04313,2.01602,0.00107434,0.00107434,0.00107434
12,435.231,1.63728,2.01696,1.86783,0.44703,0.62314,0.52908,0.28054,1.54969,2.35344,1.91562,0.00107067,0.00107067,0.00107067
13,472.824,1.69206,1.98341,1.90343,0.39321,0.71091,0.52864,0.28617,1.49108,2.71076,1.89389,0.001067,0.001067,0.001067
14,510.562,1.59821,1.9047,1.84811,0.35887,0.58361,0.45836,0.25484,1.4707,2.35587,1.80004,0.00106334,0.00106334,0.00106334
