epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.846,2.24193,3.47107,1.95048,0.16862,0.45764,0.19149,0.07309,1.77691,6.05863,1.67719,0.00014443,0.00014443,0.00014443
2,186.289,1.72251,2.21046,1.53261,0.46239,0.65484,0.56061,0.32698,1.47801,2.78661,1.42244,0.000297,0.000297,0.000297
3,253.983,1.57694,1.87354,1.39443,0.44717,0.72945,0.60063,0.34455,1.4648,3.16221,1.41784,0.000446491,0.000446491,0.000446491
4,322.987,1.55431,1.71251,1.38557,0.40614,0.94529,0.67263,0.40245,1.35245,2.36378,1.36777,0.000592902,0.000592902,0.000592902
5,384.874,1.5232,1.59245,1.38358,0.49289,0.84625,0.6476,0.3941,1.32421,2.4405,1.32514,0.000736233,0.000736233,0.000736233
6,447.272,1.47599,1.52641,1.33953,0.53207,0.76111,0.64952,0.38359,1.51307,1.68077,1.56746,0.000876485,0.000876485,0.000876485
7,515.828,1.51511,1.5413,1.34421,0.43169,0.78243,0.5374,0.31761,1.40487,2.23005,1.42851,0.00101366,0.00101366,0.00101366
8,581.568,1.48959,1.5476,1.35153,0.39915,0.42284,0.42687,0.22107,2.01105,2.55859,1.98583,0.00103401,0.00103401,0.00103401
9,649.44,1.50552,1.57461,1.3808,0.48767,0.75716,0.62715,0.35884,1.43799,1.81846,1.39448,0.00102301,0.00102301,0.00102301
10,717.541,1.50873,1.48467,1.35741,0.49766,0.77803,0.70252,0.44199,1.32677,1.71047,1.34633,0.00101201,0.00101201,0.00101201
11,785.386,1.44168,1.48248,1.31943,0.54283,0.8096,0.70994,0.44116,1.32272,1.41678,1.32284,0.00100101,0.00100101,0.00100101
12,852.893,1.42604,1.42114,1.301,0.49424,0.89848,0.6823,0.40876,1.39192,1.20391,1.36759,0.000990012,0.000990012,0.000990012
13,919.043,1.45532,1.39037,1.32923,0.46753,0.86189,0.59878,0.36323,1.41211,1.65752,1.35565,0.000979013,0.000979013,0.000979013
14,984.848,1.42307,1.39439,1.30794,0.50359,0.79899,0.60227,0.36404,1.33585,1.32862,1.32624,0.000968014,0.000968014,0.000968014
15,1050.63,1.4107,1.34766,1.29656,0.44082,0.90657,0.62181,0.40006,1.27246,1.18575,1.28321,0.000957015,0.000957015,0.000957015
16,1115.45,1.34988,1.31958,1.26716,0.45804,0.96307,0.5918,0.35739,1.43523,1.27254,1.34622,0.000946016,0.000946016,0.000946016
17,1180.15,1.41653,1.38408,1.30733,0.56223,0.96123,0.70621,0.43679,1.36588,1.14526,1.31384,0.000935018,0.000935018,0.000935018
18,1243.14,1.38899,1.31425,1.28819,0.55835,0.98182,0.62999,0.38986,1.383,1.07612,1.31254,0.000924019,0.000924019,0.000924019
19,1305.51,1.38309,1.28243,1.27941,0.52079,0.93697,0.64178,0.36434,1.47323,1.14615,1.3905,0.00091302,0.00091302,0.00091302
20,1371.69,1.3633,1.28726,1.28148,0.54917,0.86491,0.66205,0.42435,1.29911,1.16603,1.28905,0.000902021,0.000902021,0.000902021
21,1435.44,1.37538,1.23815,1.27248,0.5461,0.93339,0.61802,0.37334,1.3873,1.12467,1.32915,0.000891022,0.000891022,0.000891022
