epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1364,1.77444,3.41157,2.1648,0.02862,0.64067,0.02656,0.01015,1.86738,inf,3.34699,0.00029997,0.00029997,0.00029997
2,62.9449,1.84731,2.81809,2.25129,0.01423,0.33265,0.00809,0.0025,2.79914,inf,16.3389,0.000605001,0.000605001,0.000605001
3,97.8992,1.8273,2.67637,2.2582,0.00293,0.39519,0.00222,0.00079,3.02983,inf,33.7868,0.000903872,0.000903872,0.000903872
4,134.863,1.92965,2.63932,2.32597,0.00023,0.11128,0.00068,9e-05,3.50805,inf,13.3342,0.001078,0.001078,0.001078
5,168.837,1.83944,2.41261,2.17644,0.20548,0.28861,0.12887,0.05295,2.27863,19.4517,4.44152,0.001067,0.001067,0.001067
6,206.558,1.85506,2.28499,2.20196,0.06826,0.09123,0.06391,0.02093,2.62161,125.521,3.48777,0.00105601,0.00105601,0.00105601
7,240.488,1.80148,2.24001,2.20509,0.14708,0.16418,0.11123,0.05131,2.24118,3.37695,2.87673,0.00104501,0.00104501,0.00104501
8,274.292,1.73196,2.10033,2.09503,0.42829,0.49247,0.39331,0.18923,1.71208,3.23957,2.50676,0.00103401,0.00103401,0.00103401
9,311.939,1.70395,2.03757,2.09,0.24568,0.48636,0.27933,0.12948,1.89568,2.72227,2.55483,0.00102301,0.00102301,0.00102301
10,345.708,1.66837,2.02649,2.09686,0.34938,0.34288,0.23384,0.11114,2.21032,2.91315,2.82349,0.00101201,0.00101201,0.00101201
11,379.594,1.68704,2.00554,2.06808,0.2371,0.63869,0.24704,0.12855,1.69513,20.8618,2.44106,0.00100101,0.00100101,0.00100101
12,413.619,1.61643,1.90585,2.06113,0.47214,0.77567,0.5576,0.29937,1.56217,1.60457,2.17922,0.000990012,0.000990012,0.000990012
13,451.222,1.60506,1.8707,2.03015,0.48381,0.67568,0.53439,0.27717,1.62561,1.77358,2.27652,0.000979013,0.000979013,0.000979013
14,485.057,1.58825,1.82961,1.96205,0.39527,0.6492,0.48325,0.25599,1.67562,2.10394,2.21448,0.000968014,0.000968014,0.000968014
15,519.066,1.59119,1.81086,1.96089,0.44049,0.7263,0.49361,0.24662,1.70096,1.6017,2.35477,0.000957015,0.000957015,0.000957015
16,553.168,1.60302,1.81397,1.98806,0.48213,0.71563,0.58661,0.3351,1.48247,1.50842,2.13358,0.000946016,0.000946016,0.000946016
17,590.83,1.52379,1.79964,1.97335,0.50416,0.75193,0.56002,0.29804,1.58195,1.39518,2.2163,0.000935018,0.000935018,0.000935018
18,624.562,1.58589,1.76947,1.99225,0.52571,0.71951,0.55531,0.31748,1.43281,1.47338,2.01892,0.000924019,0.000924019,0.000924019
19,658.341,1.50604,1.68044,1.90626,0.48275,0.75228,0.55064,0.30968,1.5185,1.44373,2.10936,0.00091302,0.00091302,0.00091302
20,691.839,1.50398,1.69947,1.91019,0.49154,0.77364,0.57613,0.32612,1.48285,1.39013,2.01952,0.000902021,0.000902021,0.000902021
21,725.638,1.51048,1.66273,1.91844,0.48862,0.7884,0.5339,0.29991,1.5178,1.45987,2.09543,0.000891022,0.000891022,0.000891022
22,759.242,1.46349,1.63886,1.87697,0.49506,0.78044,0.59321,0.33638,1.46834,1.3706,2.03094,0.000880023,0.000880023,0.000880023
23,796.84,1.48635,1.60124,1.87566,0.54124,0.87495,0.61712,0.37397,1.32623,1.25878,1.90278,0.000869024,0.000869024,0.000869024
24,834.288,1.47362,1.62358,1.90207,0.47258,0.8665,0.64276,0.37384,1.3946,1.26503,1.95635,0.000858025,0.000858025,0.000858025
25,871.662,1.48692,1.63077,1.87595,0.38796,0.8061,0.56639,0.32227,1.49144,1.58536,2.00515,0.000847026,0.000847026,0.000847026
26,905.509,1.47363,1.61129,1.8826,0.52405,0.83639,0.63616,0.38588,1.36903,1.26883,1.93844,0.000836027,0.000836027,0.000836027
27,942.817,1.45001,1.59609,1.84953,0.52104,0.85192,0.69543,0.41832,1.36485,1.1957,1.9086,0.000825029,0.000825029,0.000825029
28,980.292,1.44682,1.57814,1.87808,0.52152,0.86464,0.65019,0.38794,1.37654,1.25089,1.9448,0.00081403,0.00081403,0.00081403
29,1014.18,1.43135,1.53029,1.83368,0.54549,0.89818,0.65711,0.4026,1.30393,1.13295,1.85609,0.000803031,0.000803031,0.000803031
30,1048.12,1.46495,1.57206,1.85679,0.57645,0.87446,0.71459,0.4533,1.29083,1.11319,1.84342,0.000792032,0.000792032,0.000792032
